SID,SEASON,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,STORM_SPEED,STORM_DIR,DIST2LAND,previous_wind,wind_change,year,month,day,hour,intensifies
1932244N19296,1932,UNNAMED,1932-09-04 00:00:00+00:00,23.0,-72.2,100.0,995.0,5.0,325.0,217,95.0,5.0,1932,9,4,0,1
1932244N19296,1932,UNNAMED,1932-09-04 06:00:00+00:00,23.5,-72.6,110.0,995.0,7.0,320.0,260,100.0,10.0,1932,9,4,6,1
1932244N19296,1932,UNNAMED,1932-09-04 12:00:00+00:00,24.0,-73.2,115.0,995.0,8.0,305.0,313,110.0,5.0,1932,9,4,12,1
1932244N19296,1932,UNNAMED,1932-09-04 18:00:00+00:00,24.4,-74.0,120.0,995.0,8.0,295.0,366,115.0,5.0,1932,9,4,18,1
1932244N19296,1932,UNNAMED,1932-09-05 00:00:00+00:00,24.7,-74.8,125.0,995.0,8.0,295.0,293,120.0,5.0,1932,9,5,0,1
1932244N19296,1932,UNNAMED,1932-09-05 06:00:00+00:00,25.1,-75.6,130.0,995.0,8.0,300.0,222,125.0,5.0,1932,9,5,6,1
1932244N19296,1932,UNNAMED,1932-09-05 12:00:00+00:00,25.5,-76.4,135.0,995.0,8.0,305.0,165,130.0,5.0,1932,9,5,12,1
1932244N19296,1932,UNNAMED,1932-09-05 18:00:00+00:00,26.0,-77.0,140.0,995.0,7.0,320.0,141,135.0,5.0,1932,9,5,18,0
1932244N19296,1932,UNNAMED,1932-09-06 00:00:00+00:00,26.5,-77.4,140.0,995.0,6.0,330.0,167,140.0,0.0,1932,9,6,0,0
1932244N19296,1932,UNNAMED,1932-09-06 06:00:00+00:00,27.0,-77.6,140.0,995.0,5.0,0.0,215,140.0,0.0,1932,9,6,6,0
1932244N19296,1932,UNNAMED,1932-09-06 12:00:00+00:00,27.5,-77.4,140.0,995.0,6.0,20.0,268,140.0,0.0,1932,9,6,12,0
1932244N19296,1932,UNNAMED,1932-09-06 18:00:00+00:00,28.1,-77.2,135.0,995.0,6.0,20.0,310,140.0,-5.0,1932,9,6,18,0
1932244N19296,1932,UNNAMED,1932-09-07 00:00:00+00:00,28.7,-76.9,135.0,995.0,7.0,25.0,351,135.0,0.0,1932,9,7,0,0
1932244N19296,1932,UNNAMED,1932-09-07 06:00:00+00:00,29.3,-76.5,130.0,995.0,7.0,35.0,399,135.0,-5.0,1932,9,7,6,0
1932244N19296,1932,UNNAMED,1932-09-07 12:00:00+00:00,29.8,-76.0,130.0,995.0,8.0,50.0,459,130.0,0.0,1932,9,7,12,0
1932244N19296,1932,UNNAMED,1932-09-07 18:00:00+00:00,30.5,-75.0,125.0,995.0,14.0,50.0,472,130.0,-5.0,1932,9,7,18,0
1932244N19296,1932,UNNAMED,1932-09-08 00:00:00+00:00,31.7,-73.6,115.0,995.0,21.0,40.0,429,125.0,-10.0,1932,9,8,0,0
1932244N19296,1932,UNNAMED,1932-09-08 06:00:00+00:00,33.5,-71.8,110.0,995.0,25.0,40.0,423,115.0,-5.0,1932,9,8,6,0
1932244N19296,1932,UNNAMED,1932-09-08 12:00:00+00:00,35.5,-70.1,100.0,995.0,21.0,25.0,487,110.0,-10.0,1932,9,8,12,0
1932244N19296,1932,UNNAMED,1932-09-08 18:00:00+00:00,37.2,-69.5,90.0,995.0,16.0,10.0,481,100.0,-10.0,1932,9,8,18,0
1932244N19296,1932,UNNAMED,1932-09-09 00:00:00+00:00,38.6,-69.2,85.0,995.0,12.0,25.0,346,90.0,-5.0,1932,9,9,0,0
